Expert,Node
0,0
1,0
2,0
3,0
4,0
5,3
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,3
14,0
15,0
16,0
17,1
18,1
19,1
20,1
21,1
22,3
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,3
46,2
47,2
48,2
49,3
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,3
58,3
59,3
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,3
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,3
90,1
91,1
92,2
93,2
94,2
95,2
96,2
97,3
98,2
99,2
100,2
101,2
102,2
103,3
104,2
105,2
106,2
107,2
108,2
109,3
110,3
111,3
112,3
113,3
114,3
115,3
116,3
117,3
118,3
119,3
120,0
121,0
122,1
123,1
124,0
125,0
126,0
127,3
128,0
129,0
130,1
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,3
149,3
150,1
151,1
152,1
153,2
154,3
155,2
156,3
157,2
158,3
159,3
160,3
161,2
162,2
163,2
164,2
165,2
166,2
167,2
168,3
169,2
170,2
171,2
172,3
173,2
174,3
175,2
176,3
177,3
178,3
179,3
180,0
181,0
182,0
183,0
184,0
185,0
186,3
187,0
188,0
189,3
190,0
191,3
192,0
193,0
194,0
195,0
196,0
197,0
198,3
199,1
200,3
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,3
209,3
210,1
211,1
212,1
213,1
214,1
215,3
216,1
217,3
218,1
219,2
220,2
221,2
222,2
223,3
224,2
225,2
226,2
227,2
228,2
229,3
230,2
231,2
232,2
233,2
234,2
235,2
236,3
237,3
238,3
239,3
240,0
241,0
242,0
243,1
244,3
245,0
246,0
247,0
248,0
249,0
250,1
251,0
252,3
253,0
254,0
255,0
256,0
257,0
258,0
259,1
260,1
261,1
262,1
263,1
264,1
265,3
266,3
267,1
268,1
269,1
270,3
271,1
272,1
273,1
274,2
275,1
276,2
277,3
278,2
279,2
280,2
281,2
282,2
283,2
284,2
285,2
286,2
287,2
288,2
289,2
290,2
291,3
292,3
293,3
294,3
295,3
296,3
297,3
298,3
299,3
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,2
326,1
327,2
328,1
329,2
330,2
331,2
332,2
333,2
334,2
335,2
336,2
337,2
338,2
339,2
340,2
341,2
342,3
343,3
344,3
345,3
346,3
347,3
348,3
349,1
350,3
351,3
352,3
353,3
354,0
355,3
356,3
357,3
358,0
359,3
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,1
370,1
371,1
372,1
373,0
374,1
375,1
376,1
377,1
378,0
379,1
380,1
381,0
382,1
383,0
384,1
385,1
386,1
387,0
388,0
389,1
390,2
391,2
392,3
393,2
394,2
395,2
396,2
397,2
398,2
399,2
400,3
401,2
402,2
403,2
404,2
405,2
406,2
407,3
408,3
409,3
410,3
411,3
412,3
413,3
414,3
415,3
416,3
417,3
418,3
419,3
420,0
421,0
422,0
423,0
424,2
425,0
426,0
427,0
428,0
429,0
430,2
431,0
432,2
433,2
434,0
435,0
436,0
437,1
438,1
439,1
440,1
441,0
442,1
443,0
444,1
445,1
446,3
447,1
448,1
449,1
450,2
451,1
452,2
453,1
454,1
455,1
456,1
457,2
458,2
459,2
460,2
461,2
462,2
463,2
464,2
465,2
466,3
467,3
468,3
469,3
470,3
471,3
472,3
473,3
474,3
475,3
476,3
477,3
478,3
479,3
480,0
481,0
482,0
483,0
484,0
485,0
486,3
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,1
497,1
498,1
499,1
500,3
501,1
502,3
503,1
504,3
505,1
506,1
507,1
508,1
509,1
510,1
511,3
512,1
513,3
514,1
515,1
516,2
517,2
518,2
519,2
520,2
521,2
522,2
523,2
524,3
525,2
526,2
527,2
528,2
529,3
530,2
531,2
